Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.7862,01/09/2024,30/09/2024
Albania,Lek,ALL,116.9302,01/09/2024,30/09/2024
Algeria,Dinar,DZD,174.7926,01/09/2024,30/09/2024
Angola,Readj Kwanza,AOA,1184.4217,01/09/2024,30/09/2024
Antigua,E Caribbean Dollar,XCD,3.5198,01/09/2024,30/09/2024
Argentina,Peso,ARS,1229.9268,01/09/2024,30/09/2024
Armenia,Dram,AMD,501.1564,01/09/2024,30/09/2024
Aruba,Florin,AWG,2.3328,01/09/2024,30/09/2024
Australia,Dollar,AUD,1.9339,01/09/2024,30/09/2024
Azerbaijan,New Manat,AZN,2.2155,01/09/2024,30/09/2024
Bahamas,Dollar,BSD,1.3032,01/09/2024,30/09/2024
Bahrain,Dinar,BHD,0.4900,01/09/2024,30/09/2024
Bangladesh,Taka,BDT,155.4700,01/09/2024,30/09/2024
Barbados,Dollar,BBD,2.6065,01/09/2024,30/09/2024
Belarus,Rouble,BYN,4.2616,01/09/2024,30/09/2024
Belize,Dollar,BZD,2.6383,01/09/2024,30/09/2024
Benin,CFA Franc,XOF,769.0610,01/09/2024,30/09/2024
Bermuda,Dollar (US),BMD,1.3032,01/09/2024,30/09/2024
Bhutan,Ngultrum,BTN,109.3600,01/09/2024,30/09/2024
Bolivia,Boliviano,BOB,8.9757,01/09/2024,30/09/2024
Bosnia- Herzegovinia,Marka,BAM,2.2931,01/09/2024,30/09/2024
Botswana,Pula,BWP,17.3525,01/09/2024,30/09/2024
Brazil,Real,BRL,7.1415,01/09/2024,30/09/2024
Brunei,Dollar,BND,1.7034,01/09/2024,30/09/2024
Bulgaria,Lev,BGN,2.2931,01/09/2024,30/09/2024
Burkina Faso,CFA Franc,XOF,769.0610,01/09/2024,30/09/2024
Burundi,Franc,BIF,3752.9560,01/09/2024,30/09/2024
Cambodia,Riel,KHR,5322.8482,01/09/2024,30/09/2024
Cameroon Republic,CFA Franc,XAF,769.0610,01/09/2024,30/09/2024
Canada,Dollar,CAD,1.7724,01/09/2024,30/09/2024
Cape Verde Islands,Escudo,CVE,129.2834,01/09/2024,30/09/2024
Cayman Islands,Dollar,KYD,1.0710,01/09/2024,30/09/2024
Central African Republic,CFA Franc,XAF,769.0610,01/09/2024,30/09/2024
Chad,CFA Franc,XAF,769.0610,01/09/2024,30/09/2024
Chile,Peso,CLP,1204.7130,01/09/2024,30/09/2024
China,Yuan,CNY,9.2979,01/09/2024,30/09/2024
Colombia,Peso,COP,5225.0133,01/09/2024,30/09/2024
Comoros,Franc,KMF,576.7957,01/09/2024,30/09/2024
Congo (Brazaville),CFA Franc,XAF,769.0610,01/09/2024,30/09/2024
Congo (DemRep),Congo Fr,CDF,3728.4882,01/09/2024,30/09/2024
Costa Rica,Colon,CRC,677.9717,01/09/2024,30/09/2024
Cote d'Ivoire,CFA Franc,XOF,769.0610,01/09/2024,30/09/2024
Cuba,Peso,CUP,31.1820,01/09/2024,30/09/2024
Czech Republic,Koruna,CZK,29.4256,01/09/2024,30/09/2024
Denmark,Krone,DKK,8.7484,01/09/2024,30/09/2024
Djibouti,Franc,DJF,231.2953,01/09/2024,30/09/2024
Dominica,E Caribbean Dollar,XCD,3.5198,01/09/2024,30/09/2024
Dominican Republic,Peso,DOP,77.7377,01/09/2024,30/09/2024
Dubai,Dirham,AED,4.7862,01/09/2024,30/09/2024
Egypt,Pound,EGP,63.6059,01/09/2024,30/09/2024
El Salvador,Colon,SVC,11.4034,01/09/2024,30/09/2024
Equatorial Guinea,CFA Franc,XAF,769.0610,01/09/2024,30/09/2024
Eritrea,Nakfa,ERN,19.5486,01/09/2024,30/09/2024
Ethiopia,Birr,ETB,141.5917,01/09/2024,30/09/2024
Eurozone,Euro,EUR,1.1724,01/09/2024,30/09/2024
Fiji Islands,Dollar,FJD,2.8875,01/09/2024,30/09/2024
Fr. Polynesia,CFP Franc,XPF,139.9076,01/09/2024,30/09/2024
Gabon,CFA Franc,XAF,769.0610,01/09/2024,30/09/2024
Gambia,Dalasi,GMD,90.8446,01/09/2024,30/09/2024
Georgia,Lari,GEL,3.5291,01/09/2024,30/09/2024
Ghana,Cedi,GHS,20.3591,01/09/2024,30/09/2024
Grenada,E Caribbean Dollar,XCD,3.5198,01/09/2024,30/09/2024
Guatemala,Quetzal,GTQ,10.0680,01/09/2024,30/09/2024
Guinea Bissau,CFA Franc,XOF,769.0610,01/09/2024,30/09/2024
Guinea Republic,Franc,GNF,11237.4613,01/09/2024,30/09/2024
Guyana,Dollar,GYD,271.4198,01/09/2024,30/09/2024
Haiti,Gourde,HTG,171.2996,01/09/2024,30/09/2024
Honduras,Lempira,HNL,32.2454,01/09/2024,30/09/2024
Hong Kong,Dollar,HKD,10.1576,01/09/2024,30/09/2024
Hungary,Forint,HUF,459.9404,01/09/2024,30/09/2024
Iceland,Krona,ISK,179.0421,01/09/2024,30/09/2024
India,Rupee,INR,109.3600,01/09/2024,30/09/2024
Indonesia,Rupiah,IDR,20225.4733,01/09/2024,30/09/2024
Iraq,Dinar,IQD,1699.3484,01/09/2024,30/09/2024
Israel,Shekel,ILS,4.8537,01/09/2024,30/09/2024
Jamaica,Dollar,JMD,204.0500,01/09/2024,30/09/2024
Japan,Yen,JPY,190.3768,01/09/2024,30/09/2024
Jordan,Dinar,JOD,0.9240,01/09/2024,30/09/2024
Kazakhstan,Tenge,KZT,623.4495,01/09/2024,30/09/2024
Kenya,Schilling,KES,168.0518,01/09/2024,30/09/2024
Kuwait,Dinar,KWD,0.3983,01/09/2024,30/09/2024
Kyrgyz Republic,Som,KGS,111.5702,01/09/2024,30/09/2024
Lao People's Dem Rep,Kip,LAK,28858.6725,01/09/2024,30/09/2024
Lebanon,Pound,LBP,117677.5673,01/09/2024,30/09/2024
Lesotho,Loti,LSL,23.2244,01/09/2024,30/09/2024
Liberia,Dollar,LRD,253.7355,01/09/2024,30/09/2024
Libya,Dinar,LYD,6.2180,01/09/2024,30/09/2024
Macao,Pataca,MOP,10.4623,01/09/2024,30/09/2024
Macedonia,Denar,MKD,72.1501,01/09/2024,30/09/2024
Madagascar,Malagasy Ariary,MGA,5951.0078,01/09/2024,30/09/2024
Malawi,Kwacha,MWK,2256.6003,01/09/2024,30/09/2024
Malaysia,Ringgit,MYR,5.7055,01/09/2024,30/09/2024
Maldive Islands,Rufiyaa,MVR,20.0784,01/09/2024,30/09/2024
Mali Republic,CFA Franc,XOF,769.0610,01/09/2024,30/09/2024
